Timestamp: 20241007_185321
Mean magnitude: 1.4432337284088135, after 8.445403 seconds
Mean magnitude: 1.4504883289337158, after 8.732419 seconds
Mean magnitude: 1.434727430343628, after 8.995344 seconds
Mean magnitude: 1.3667888641357422, after 9.260582 seconds
Mean magnitude: 1.3061599731445312, after 9.543946 seconds
Mean magnitude: 1.432031273841858, after 9.826467 seconds
Mean magnitude: 1.5080437660217285, after 10.098982 seconds
Mean magnitude: 3.8528544902801514, after 10.375764 seconds
Component attached gently, after 10.375764 seconds
Mean magnitude: 1.7978075742721558, after 10.63522 seconds
Mean magnitude: 1.4274578094482422, after 10.902879 seconds
Component disappeared: Mean magnitude: 1.4274578094482422
Component detached
Timestamp: 20241007_190445
Mean magnitude: 1.1108847856521606, after 0.742816 seconds
Mean magnitude: 1.4421924352645874, after 1.032704 seconds
Mean magnitude: 1.4692124128341675, after 1.291946 seconds
Mean magnitude: 1.6269338130950928, after 1.551787 seconds
Mean magnitude: 1.803732991218567, after 1.833975 seconds
Mean magnitude: 1.1921261548995972, after 2.096088 seconds
Mean magnitude: 1.1499415636062622, after 2.357325 seconds
Mean magnitude: 2.089259386062622, after 2.614706 seconds
Mean magnitude: 1.08266282081604, after 2.87304 seconds
Mean magnitude: 1.495214581489563, after 3.127227 seconds
Mean magnitude: 1.2149008512496948, after 3.382631 seconds
Mean magnitude: 1.6970576047897339, after 3.65329 seconds
Mean magnitude: 1.3979403972625732, after 3.935781 seconds
Mean magnitude: 1.1084233522415161, after 4.203278 seconds
Mean magnitude: 1.39913809299469, after 4.464612 seconds
Mean magnitude: 1.1554137468338013, after 4.728224 seconds
Mean magnitude: 1.4754283428192139, after 4.985039 seconds
Mean magnitude: 1.5909498929977417, after 5.259999 seconds
Mean magnitude: 1.1555182933807373, after 5.552881 seconds
Mean magnitude: 1.2572813034057617, after 5.810949 seconds
Mean magnitude: 1.205529808998108, after 6.075361 seconds
Mean magnitude: 1.509806513786316, after 6.3555 seconds
Mean magnitude: 1.9960436820983887, after 6.648529 seconds
Mean magnitude: 1.451296091079712, after 6.934195 seconds
Mean magnitude: 1.489705204963684, after 7.218833 seconds
Mean magnitude: 1.4432790279388428, after 7.498028 seconds
Mean magnitude: 1.1354576349258423, after 7.768531 seconds
Mean magnitude: 1.4718048572540283, after 8.025523 seconds
Mean magnitude: 1.160273790359497, after 8.289702 seconds
Mean magnitude: 1.6287378072738647, after 8.565421 seconds
Mean magnitude: 1.2772172689437866, after 8.826183 seconds
Mean magnitude: 1.282141923904419, after 9.11316 seconds
Mean magnitude: 2.2474801540374756, after 9.382445 seconds
Mean magnitude: 1.2381577491760254, after 9.683857 seconds
Mean magnitude: 1.33513605594635, after 9.96764 seconds
Mean magnitude: 2.2662088871002197, after 10.254377 seconds
Mean magnitude: 3.2648961544036865, after 10.513687 seconds
Component attached gently, after 10.513687 seconds
Mean magnitude: 2.292816400527954, after 10.773516 seconds
Component disappeared: Mean magnitude: 2.292816400527954
Mean magnitude: 1.9454431533813477, after 11.068334 seconds
Component disappeared: Mean magnitude: 1.9454431533813477
Mean magnitude: 1.2942372560501099, after 11.364655 seconds
Component disappeared: Mean magnitude: 1.2942372560501099
Mean magnitude: 1.8713042736053467, after 11.672035 seconds
Mean magnitude: 1.4154207706451416, after 11.955995 seconds
Mean magnitude: 1.132253646850586, after 12.24117 seconds
Mean magnitude: 0.9471318125724792, after 12.504364 seconds
Component disappeared: Mean magnitude: 0.9471318125724792
Mean magnitude: 1.7333087921142578, after 12.800609 seconds
Mean magnitude: 1.3870344161987305, after 13.056945 seconds
Mean magnitude: 1.1517232656478882, after 13.318689 seconds
Component disappeared: Mean magnitude: 1.1517232656478882
Mean magnitude: 1.7581555843353271, after 13.611595 seconds
Component disappeared: Mean magnitude: 1.7581555843353271
Mean magnitude: 1.0705957412719727, after 13.944368 seconds
Component disappeared: Mean magnitude: 1.0705957412719727
Component detached
