Timestamp: 20241007_190552
Mean magnitude: 5.899275302886963, after 10.384233 seconds
Component attached gently, after 10.384233 seconds
Mean magnitude: 3.9090962409973145, after 10.691283 seconds
Component attached gently, after 10.691283 seconds
Mean magnitude: 1.9818440675735474, after 11.003897 seconds
Mean magnitude: 1.426149606704712, after 11.312106 seconds
Mean magnitude: 1.3576970100402832, after 11.621397 seconds
Mean magnitude: 1.4079068899154663, after 11.925435 seconds
Mean magnitude: 1.5782092809677124, after 12.232886 seconds
Mean magnitude: 1.5229867696762085, after 12.538195 seconds
Mean magnitude: 1.2422022819519043, after 12.84135 seconds
Mean magnitude: 1.9447039365768433, after 13.153821 seconds
Mean magnitude: 1.6603792905807495, after 13.459956 seconds
Mean magnitude: 1.5849878787994385, after 13.772356 seconds
Mean magnitude: 1.5576789379119873, after 14.085275 seconds
Component jumped: Mean magnitude: 1.5576789379119873
Component detached
Timestamp: 20241007_191128
Mean magnitude: 1.1559078693389893, after 0.817196 seconds
Mean magnitude: 1.6229560375213623, after 1.136044 seconds
Mean magnitude: 1.2611298561096191, after 1.444796 seconds
Mean magnitude: 1.141540288925171, after 1.753539 seconds
Mean magnitude: 1.5329642295837402, after 2.061664 seconds
Mean magnitude: 1.49616277217865, after 2.369293 seconds
Mean magnitude: 1.5298587083816528, after 2.679644 seconds
Mean magnitude: 1.5035946369171143, after 2.987852 seconds
Mean magnitude: 1.198541522026062, after 3.30146 seconds
Mean magnitude: 1.4633108377456665, after 3.62767 seconds
Mean magnitude: 2.8345513343811035, after 3.931207 seconds
Mean magnitude: 1.0288820266723633, after 4.235128 seconds
Mean magnitude: 1.2928160429000854, after 4.541597 seconds
Mean magnitude: 1.6444480419158936, after 4.845073 seconds
Mean magnitude: 1.4482033252716064, after 5.153606 seconds
Mean magnitude: 1.5195015668869019, after 5.466196 seconds
Mean magnitude: 1.6738696098327637, after 5.778936 seconds
Mean magnitude: 1.2125403881072998, after 6.087236 seconds
Mean magnitude: 1.2074183225631714, after 6.391977 seconds
Mean magnitude: 1.4888142347335815, after 6.700712 seconds
Mean magnitude: 1.2621469497680664, after 7.011489 seconds
Mean magnitude: 1.3273699283599854, after 7.316756 seconds
Mean magnitude: 1.2858422994613647, after 7.627901 seconds
Mean magnitude: 1.4719568490982056, after 7.937816 seconds
Mean magnitude: 1.3450074195861816, after 8.240913 seconds
Mean magnitude: 1.3780124187469482, after 8.54187 seconds
Mean magnitude: 1.4196691513061523, after 8.844606 seconds
Mean magnitude: 1.5660160779953003, after 9.153161 seconds
Mean magnitude: 1.490119218826294, after 9.463079 seconds
Mean magnitude: 1.5418740510940552, after 9.769551 seconds
Mean magnitude: 2.575005054473877, after 10.089919 seconds
Mean magnitude: 3.1219115257263184, after 10.398814 seconds
Component attached gently, after 10.398814 seconds
Mean magnitude: 2.329742431640625, after 10.711909 seconds
Mean magnitude: 1.0596644878387451, after 11.023918 seconds
Mean magnitude: 1.3935353755950928, after 11.332876 seconds
Mean magnitude: 2.4822239875793457, after 11.639706 seconds
Mean magnitude: 1.3020678758621216, after 11.952683 seconds
Mean magnitude: 1.610804557800293, after 12.261341 seconds
Mean magnitude: 1.4307447671890259, after 12.576131 seconds
Mean magnitude: 1.700217366218567, after 12.885627 seconds
Mean magnitude: 1.3317469358444214, after 13.192004 seconds
Mean magnitude: 1.310494303703308, after 13.500939 seconds
Mean magnitude: 0.9659729599952698, after 13.810215 seconds
Component disappeared: Mean magnitude: 0.9659729599952698
Component detached
Timestamp: 20241007_191157
